seqno;TITLE;PUBLISHER;PUBLICATION WEBSITE;ISSN;E-ISSN;PUBLICATION COUNTRY;LANGUAGE;PUBLICATION FREQUENCY;ISSUES PER YEAR;SCIE;SSCI;AHCI
D1698J;ACS Sustainable Chemistry & Engineering;AMER CHEMICAL SOC;http://pubs.acs.org/journal/ascecg;2168-0485;2168-0485;UNITED STATES;English;M;12;Yes;No;No
D1166J;ACS Synthetic Biology;AMER CHEMICAL SOC;;2161-5063;2161-5063;UNITED STATES;English;M;12;Yes;No;No
13214J;ACSMS HEALTH & FITNESS JOURNAL;LIPPINCOTT WILLIAMS & WILKINS;http://journals.lww.com/acsm-healthfitness/pages/default.aspx;1091-5397;1536-593X;UNITED STATES;English;B;6;Yes;No;No
13869J;ACTA ACUSTICA UNITED WITH ACUSTICA;S HIRZEL VERLAG;http://www.acta-acustica-united-with-acustica.com;1610-1928;1861-9959;GERMANY;Multi-Language;B;6;Yes;No;No
C3308J;ACTA ADRIATICA;INST OCEANOGRAFIJU I RIBARSTVO;http://www.izor.hr/acta/eng/;0001-5113;1846-0453;CROATIA;Multi-Language;H;2;Yes;No;No
09891J;ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE;TAYLOR & FRANCIS AS;http://www.tandfonline.com/loi/saga20;0906-4702;1651-1972;ENGLAND;English;Q;4;Yes;No;No
09890J;ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE;TAYLOR & FRANCIS AS;http://www.tandfonline.com/loi/sagb20;0906-4710;1651-1913;NORWAY;English;B;8;Yes;No;No
00171J;ACTA ALIMENTARIA;AKADEMIAI KIADO RT;http://www.akademiai.com/content/119693;0139-3006;1588-2535;HUNGARY;English;Q;4;Yes;No;No
C1582J;ACTA AMAZONICA;INST NACIONAL PESQUISAS AMAZONIA;http://www.scielo.br/revistas/aa/iaboutj.htm;0044-5967;1809-4392;BRAZIL;Multi-Language;I;;Yes;No;No
00220J;ACTA ANAESTHESIOLOGICA SCANDINAVICA;WILEY-BLACKWELL;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576;0001-5172;1399-6576;DENMARK;English;M;10;Yes;No;No
C8856J;Acta Analytica-International Periodical for Philosophy in the Analytical Tradition;SPRINGER;http://www.springer.com/philosophy/journal/12136/;0353-5150;1874-6349;UNITED STATES;English;Q;4;No;No;Yes
04898J;ACTA APPLICANDAE MATHEMATICAE;SPRINGER;http://www.springerlink.com/content/100230/;0167-8019;1572-9036;NETHERLANDS;English;B;6;Yes;No;No
00308J;ACTA ARCHAEOLOGICA;WILEY-BLACKWELL;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390;0065-101X;1600-0390;DENMARK;English;A;1;No;No;Yes
D2783J;2D Materials;IOP PUBLISHING LTD;http://iopscience.iop.org/2053-1583/;2053-1583;2053-1583;ENGLAND;English;Q;4;Yes;No;No
D2794J;3 Biotech;SPRINGER HEIDELBERG;http://www.springerlink.com/content/2190-572X/;2190-5738;2190-572X;GERMANY;English;Q;4;Yes;No;No
C7466J;4OR-A Quarterly Journal of Operations Research;SPRINGER HEIDELBERG;http://www.springerlink.com/content/1614-2411;1619-4500;1614-2411;GERMANY;English;Q;4;Yes;No;No
01616J;A + U-ARCHITECTURE AND URBANISM;A & U PUBL CO LTD;;0389-9160;;JAPAN;Multi-Language;M;12;No;No;Yes
04616J;AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK;GUNTER NARR VERLAG;;0171-5410;;GERMANY;Multi-Language;H;2;No;No;Yes
00014J;AAPG BULLETIN;AMER ASSOC PETROLEUM GEOLOGIST;;0149-1423;1558-9153;UNITED STATES;English;M;12;Yes;No;No
C5767J;AAPS Journal;SPRINGER;http://www.springerlink.com/content/1550-7416/;1550-7416;1550-7416;UNITED STATES;English;Q;4;Yes;No;No
C2023J;AAPS PHARMSCITECH;SPRINGER;http://www.springerlink.com/content/120971/;1530-9932;1530-9932;UNITED STATES;English;Q;4;Yes;No;No
D4537J;AATCC Journal of Research;AMER ASSOC TEXTILE CHEMISTS COLORISTS;http://www.ingentaconnect.com/content/aatcc/jor;2330-5517;2330-5517;UNITED STATES;English;B;6;Yes;No;No
13529J;AATCC REVIEW;AMER ASSOC TEXTILE CHEMISTS COLORISTS;http://www.aatcc.org/media/index.htm;1532-8813;1532-8813;UNITED STATES;English;B;6;Yes;No;No
C6372J;Abacus-A Journal of Accounting Finance and Business Studies;WILEY-BLACKWELL;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281;0001-3072;1467-6281;AUSTRALIA;English;Q;4;No;Yes;No
10110J;ABDOMINAL IMAGING;SPRINGER;http://www.springerlink.com/content/100116/;0942-8925;1432-0509;UNITED STATES;English;B;6;Yes;No;No
